DATE,PCEPILFE_PC1
2005-01-01,2.17143
2005-02-01,2.17544
2005-03-01,2.25561
2005-04-01,2.10751
2005-05-01,2.17689
2005-06-01,2.08637
2005-07-01,2.11497
2005-08-01,2.15887
2005-09-01,2.19327
2005-10-01,2.26522
2005-11-01,2.30603
2005-12-01,2.28088
2006-01-01,2.14248
2006-02-01,2.13771
2006-03-01,2.16793
2006-04-01,2.36219
2006-05-01,2.40857
2006-06-01,2.59579
2006-07-01,2.54576
2006-08-01,2.67135
2006-09-01,2.60601
2006-10-01,2.49692
2006-11-01,2.28422
2006-12-01,2.31560
2007-01-01,2.50045
2007-02-01,2.55647
2007-03-01,2.37699
2007-04-01,2.21097
2007-05-01,2.07564
2007-06-01,1.98727
2007-07-01,2.04111
2007-08-01,1.98484
2007-09-01,2.10233
2007-10-01,2.18351
2007-11-01,2.33584
2007-12-01,2.40339
2008-01-01,2.19304
2008-02-01,2.07241
2008-03-01,2.16974
2008-04-01,2.08372
2008-05-01,2.14893
2008-06-01,2.21410
2008-07-01,2.24450
2008-08-01,2.21794
2008-09-01,2.04398
2008-10-01,1.63440
2008-11-01,1.39027
2008-12-01,1.13783
2009-01-01,0.90593
2009-02-01,0.88784
2009-03-01,0.76246
2009-04-01,0.92792
2009-05-01,0.82230
2009-06-01,0.72015
2009-07-01,0.62558
2009-08-01,0.65094
2009-09-01,0.72518
2009-10-01,1.23990
2009-11-01,1.37348
2009-12-01,1.50952
2010-01-01,1.69090
2010-02-01,1.69865
2010-03-01,1.77697
2010-04-01,1.60297
2010-05-01,1.63686
2010-06-01,1.55557
2010-07-01,1.47059
2010-08-01,1.41762
2010-09-01,1.29683
2010-10-01,1.07878
2010-11-01,1.12158
2010-12-01,1.05675
2011-01-01,1.12344
2011-02-01,1.21190
2011-03-01,1.21457
2011-04-01,1.39470
2011-05-01,1.52356
2011-06-01,1.58633
2011-07-01,1.73445
2011-08-01,1.83963
2011-09-01,1.85082
2011-10-01,1.74472
2011-11-01,1.82786
2011-12-01,1.97496
2012-01-01,2.06148
2012-02-01,2.02585
2012-03-01,2.04485
2012-04-01,1.96534
2012-05-01,1.82674
2012-06-01,1.81926
2012-07-01,1.77387
2012-08-01,1.63592
2012-09-01,1.69160
2012-10-01,1.88945
2012-11-01,1.78307
2012-12-01,1.68987
2013-01-01,1.59159
2013-02-01,1.56013
2013-03-01,1.48074
2013-04-01,1.37706
2013-05-01,1.39292
2013-06-01,1.46365
2013-07-01,1.48796
2013-08-01,1.53325
2013-09-01,1.52923
2013-10-01,1.45482
2013-11-01,1.51426
2013-12-01,1.54736
2014-01-01,1.45246
2014-02-01,1.39012
2014-03-01,1.44742
2014-04-01,1.57127
2014-05-01,1.62366
2014-06-01,1.56354
2014-07-01,1.61032
2014-08-01,1.53975
2014-09-01,1.55485
2014-10-01,1.47091
2014-11-01,1.39258
2014-12-01,1.35635
2015-01-01,1.20971
2015-02-01,1.27748
2015-03-01,1.28084
2015-04-01,1.29437
2015-05-01,1.24720
2015-06-01,1.25415
2015-07-01,1.17895
2015-08-01,1.22125
2015-09-01,1.23212
2015-10-01,1.17799
2015-11-01,1.19670
2015-12-01,1.19170
2016-01-01,1.40624
2016-02-01,1.46589
2016-03-01,1.45745
2016-04-01,1.51995
2016-05-01,1.56873
2016-06-01,1.55240
2016-07-01,1.59933
2016-08-01,1.69696
2016-09-01,1.68525
2016-10-01,1.78241
2016-11-01,1.71886
2016-12-01,1.77009
2017-01-01,1.86333
2017-02-01,1.86728
2017-03-01,1.67865
2017-04-01,1.63682
2017-05-01,1.54552
2017-06-01,1.57644
2017-07-01,1.50311
2017-08-01,1.43359
2017-09-01,1.42259
2017-10-01,1.54101
2017-11-01,1.54538
2017-12-01,1.57688
2018-01-01,1.63204
2018-02-01,1.64422
2018-03-01,1.90918
2018-04-01,1.88422
2018-05-01,1.98090
2018-06-01,1.93622
2018-07-01,1.99580
2018-08-01,1.89576
2018-09-01,1.96030
2018-10-01,1.87091
2018-11-01,2.01025
2018-12-01,2.03808
2019-01-01,1.84443
2019-02-01,1.74411
2019-03-01,1.61607
2019-04-01,1.63678
2019-05-01,1.56318
2019-06-01,1.65698
2019-07-01,1.63912
2019-08-01,1.74580
2019-09-01,1.63201
2019-10-01,1.62359
2019-11-01,1.49772
2019-12-01,1.54475
2020-01-01,1.57286
2020-02-01,1.67147
2020-03-01,1.49236
2020-04-01,0.95967
2020-05-01,0.96642
2020-06-01,0.93762
2020-07-01,1.17865
2020-08-01,1.38540
2020-09-01,1.46525
2020-10-01,1.38617
2020-11-01,1.42758
2020-12-01,1.51646
2021-01-01,1.68058
2021-02-01,1.71277
2021-03-01,2.20085
2021-04-01,3.15857
2021-05-01,3.57670
2021-06-01,3.88784
2021-07-01,3.96759
2021-08-01,3.99202
2021-09-01,4.04384
2021-10-01,4.46952
2021-11-01,4.93853
2021-12-01,5.24437
2022-01-01,5.40642
2022-02-01,5.64911
2022-03-01,5.62967
2022-04-01,5.34826
2022-05-01,5.18580
2022-06-01,5.32345
2022-07-01,5.11269
2022-08-01,5.35656
2022-09-01,5.60657
2022-10-01,5.45996
2022-11-01,5.20074
2022-12-01,4.95164
2023-01-01,4.94517
2023-02-01,4.86346
2023-03-01,4.77169
2023-04-01,4.77842
2023-05-01,4.70851
2023-06-01,4.36630
2023-07-01,4.27258
2023-08-01,3.78151
2023-09-01,3.65701
2023-10-01,3.44234
2023-11-01,3.22168
2023-12-01,3.03564
